customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
10842673.0,277488952,,360242.0,The Hitcher Books,2,,,2025-04-16 07:36:46+00:00,2025-04-18 10:19:15+00:00,20112347
18387707.0,277488952,,360242.0,The Hitcher Books,2,,,2025-08-15 14:20:05+00:00,2025-08-18 14:16:31+00:00,20179911
16932715.0,277488952,,360242.0,The Hitcher Books,3,,,2025-05-08 03:54:13+00:00,2025-05-10 11:39:15+00:00,20121710
30303906.0,275688463,,86794.0,Đông Tây,2,,,2025-04-19 15:03:07+00:00,2025-04-24 16:37:14+00:00,20144717
7788381.0,277400587,,143529.0,MaiHaBooks,4,,,2026-02-06 19:47:33+00:00,2026-02-11 14:58:13+00:00,20212366
14207003.0,277400587,,143529.0,MaiHaBooks,2,,,2025-10-12 03:31:03+00:00,2025-10-14 14:17:02+00:00,20181585
21909421.0,277400587,,143529.0,MaiHaBooks,2,,,2025-12-14 14:04:44+00:00,2025-12-20 09:50:56+00:00,20199580
15815788.0,277400587,,143529.0,MaiHaBooks,1,,,2025-12-12 04:58:02+00:00,2025-12-16 09:29:42+00:00,20198458
17506038.0,277400587,,143529.0,MaiHaBooks,2,,,2025-12-15 10:00:55+00:00,2025-12-18 13:55:24+00:00,20206838
12111108.0,277400587,,143529.0,MaiHaBooks,3,,,2026-01-08 11:29:11+00:00,2026-01-15 09:17:00+00:00,20205934
27926966.0,277400587,,143529.0,MaiHaBooks,4,,,2025-11-21 23:19:21+00:00,2025-11-27 15:32:34+00:00,20193722
7435472.0,277400587,,143529.0,MaiHaBooks,4,,,2025-11-07 04:00:43+00:00,2025-11-08 11:07:11+00:00,20193363
18891007.0,277400587,,143529.0,MaiHaBooks,1,,,2025-08-14 20:17:51+00:00,2025-08-17 17:37:15+00:00,20159851
,277400587,,143529.0,MaiHaBooks,4,,,2025-10-10 07:11:15+00:00,2025-10-16 10:19:04+00:00,20184320
1789841.0,277400587,,143529.0,MaiHaBooks,2,,,2025-10-08 05:30:57+00:00,2025-10-09 09:14:59+00:00,20178962
470106.0,277946722,,238627.0,Trustbooks,4,,,2025-05-25 12:10:26+00:00,2025-05-27 13:05:24+00:00,20129720
30404733.0,278523236,,1.0,Tiki Trading,3,,,2025-11-14 10:41:49+00:00,2025-11-17 12:48:09+00:00,20197892
606540.0,278523236,,1.0,Tiki Trading,4,,,2025-11-28 00:12:12+00:00,2025-11-30 12:10:03+00:00,20194373
2531.0,278523236,,1.0,Tiki Trading,2,,,2025-10-17 08:59:34+00:00,2025-10-17 17:02:32+00:00,20183084
17813674.0,275737928,,1.0,Tiki Trading,3,,,2025-01-14 18:21:08+00:00,2025-01-17 11:17:36+00:00,20068144
5365821.0,275737928,,1.0,Tiki Trading,2,,,2025-08-28 16:01:55+00:00,2025-08-31 16:39:01+00:00,20165057
22117982.0,275737928,,1.0,Tiki Trading,3,,,2025-02-09 08:55:31+00:00,2025-02-09 17:04:25+00:00,20078696
1175009.0,275737928,,1.0,Tiki Trading,1,,,2026-02-06 05:10:03+00:00,2026-02-06 15:56:04+00:00,20214525
1263618.0,275737928,,1.0,Tiki Trading,2,,,2025-09-13 11:58:12+00:00,2025-09-14 10:06:28+00:00,20183833
68275.0,275737928,,1.0,Tiki Trading,2,,,2024-09-09 03:14:36+00:00,2024-09-09 15:23:21+00:00,19976251
12058844.0,275737928,,1.0,Tiki Trading,1,,,2025-05-27 19:33:57+00:00,2025-05-29 10:02:33+00:00,20130138
29940539.0,275737928,,1.0,Tiki Trading,3,,,2025-05-10 08:23:12+00:00,2025-05-12 11:56:20+00:00,20122603
606540.0,275737928,,1.0,Tiki Trading,4,,,2025-04-15 03:42:56+00:00,2025-04-18 11:05:40+00:00,20112429
26764872.0,275737928,,1.0,Tiki Trading,1,,,2024-10-18 01:38:36+00:00,2024-10-20 19:46:41+00:00,20056587
10529571.0,273978196,,1.0,Tiki Trading,2,,,2025-10-29 04:34:10+00:00,2025-10-29 14:01:55+00:00,20189119
29833486.0,273978196,,1.0,Tiki Trading,1,,,2026-01-05 06:43:24+00:00,2026-01-06 10:58:49+00:00,20203920
8337902.0,273978196,,1.0,Tiki Trading,2,,,2026-02-25 13:25:48+00:00,2026-03-01 06:35:41+00:00,20216046
30333776.0,273978196,,1.0,Tiki Trading,4,,,2025-05-23 15:40:01+00:00,2025-05-25 14:40:14+00:00,20132877
12073378.0,273978196,,1.0,Tiki Trading,1,,,2026-02-22 04:56:45+00:00,2026-02-23 12:34:12+00:00,20214283
30606335.0,273978196,,1.0,Tiki Trading,3,,,2026-02-02 11:27:01+00:00,2026-02-03 16:28:04+00:00,20210542
26964535.0,273978196,,1.0,Tiki Trading,2,,,2025-10-10 02:22:30+00:00,2025-10-13 10:34:34+00:00,20190435
1428415.0,273978196,,1.0,Tiki Trading,1,,,2025-07-31 22:49:50+00:00,2025-08-02 15:34:51+00:00,20160001
13691803.0,273978196,,1.0,Tiki Trading,3,,,2025-04-21 01:11:06+00:00,2025-04-23 17:07:12+00:00,20115007
30164654.0,273978196,,1.0,Tiki Trading,3,,,2024-11-11 06:01:22+00:00,2024-11-11 15:37:16+00:00,20059110
12677793.0,273978196,,1.0,Tiki Trading,3,,,2024-09-24 04:58:47+00:00,2024-09-26 17:01:56+00:00,20034796
27450802.0,273978196,,1.0,Tiki Trading,1,,,2024-10-23 12:30:06+00:00,2024-10-26 18:58:15+00:00,20017093
16337292.0,273978196,,1.0,Tiki Trading,2,,,2024-10-24 02:42:10+00:00,2024-10-25 10:44:13+00:00,20016614
27587686.0,273978196,,1.0,Tiki Trading,1,,,2024-10-21 14:32:28+00:00,2024-10-23 20:55:21+00:00,20014079
29126491.0,273978196,,1.0,Tiki Trading,3,,,2024-09-15 05:02:24+00:00,2024-09-19 17:14:53+00:00,19986172
145997.0,273978196,,1.0,Tiki Trading,4,,,2024-09-09 15:23:33+00:00,2024-09-12 09:36:06+00:00,19979333
6522490.0,193516652,,281062.0,Bamboo Books,1,,,2022-08-13 12:04:56+00:00,2022-08-16 09:53:46+00:00,17590506
7631321.0,181979020,,12628.0,Vadata,2,,,2022-07-03 05:37:25+00:00,2022-07-07 13:03:11+00:00,17125869
9055094.0,542690,,1.0,Tiki Trading,2,,,2022-02-23 06:57:49+00:00,2022-02-24 10:25:08+00:00,16118173
11372952.0,542690,,1.0,Tiki Trading,4,,,2022-11-11 15:12:53+00:00,2022-11-16 09:21:44+00:00,18220090
12568950.0,542690,,1.0,Tiki Trading,2,,,2022-07-17 23:13:30+00:00,2022-07-19 11:49:39+00:00,18364820
12356698.0,542690,,1.0,Tiki Trading,1,,,2022-05-31 02:19:20+00:00,2022-05-31 11:25:09+00:00,16726886
9845513.0,542690,,1.0,Tiki Trading,2,,,2022-07-18 14:20:31+00:00,2022-07-20 10:53:09+00:00,17133971
10951899.0,542690,,1.0,Tiki Trading,4,,,2022-07-15 04:33:02+00:00,2022-07-17 10:16:31+00:00,17133584
17810641.0,542690,,1.0,Tiki Trading,1,,,2021-09-09 08:54:28+00:00,2021-09-19 11:09:21+00:00,12261060
5770849.0,542690,,1.0,Tiki Trading,2,,,2022-11-25 02:14:47+00:00,2022-11-26 15:44:47+00:00,18317443
26475768.0,542690,,1.0,Tiki Trading,1,,,2022-05-04 17:29:40+00:00,2022-05-09 11:41:03+00:00,16948187
8225915.0,542690,,1.0,Tiki Trading,2,,,2022-07-22 11:01:07+00:00,2022-07-23 09:50:24+00:00,17174126
18769715.0,542690,,1.0,Tiki Trading,1,,,2021-02-13 06:33:40+00:00,2021-02-17 12:07:07+00:00,8876067
16563140.0,542690,,1.0,Tiki Trading,3,,,2022-08-08 05:36:25+00:00,2022-08-09 12:58:21+00:00,17369245
21662357.0,542690,,1.0,Tiki Trading,3,,,2021-05-14 18:26:44+00:00,2021-05-16 17:12:13+00:00,9765127
12772193.0,542690,,1.0,Tiki Trading,2,,,2022-04-09 09:48:28+00:00,2022-04-11 11:26:18+00:00,15872547
7736221.0,542690,,1.0,Tiki Trading,4,,,2022-11-25 05:30:20+00:00,2022-11-25 13:38:34+00:00,18805572
1935477.0,542690,,1.0,Tiki Trading,3,,,2022-05-26 13:33:59+00:00,2022-05-29 14:35:54+00:00,16575376
