id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy,cat1,cat2,cat3
276849567,Sách Cách Sống Của Thiếu Nữ Hành Quyết –Chỉ Một Màn Sương Trắng (Tập 2),159000,179000,11,5.0,1,11,Mato Sato,Ichi Light Novel,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2024-03-12,Tiki Trading,available,1000.0,False,True,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel
272967429,"Sách Cách Sống Của Thiếu Nữ Hành Quyết – Và Rồi, Cô Ấy Được Tái Sinh (Tập 1)",106600,164000,35,5.0,1,24,Mato Sato,Ichi Light Novel,Nhà Xuất Bản Thế Giới,,Bìa mềm,520.0,,Tiki Trading,available,1000.0,False,True,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel
273471483,Trạm Đọc | Một Người Việt Trầm Lặng : Phạm Xuân Ẩn - Điệp Viên Thách Thức Nước Mỹ,92000,92000,0,5.0,1,7,Jean-Claude Pomonti,First News - Trí Việt,NXB Tổng Hợp Thành Phố Hồ Chí Minh,,Bìa mềm,208.0,,Nhà Sách Vĩnh Thụy,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
278632049,Sách ngoại văn: Alchemised - Paperback,793200,836000,5,5.0,1,2,nhieu tac gia,Penguin Books,Del Rey,9798217091256,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,science-fiction-fantasy
205696908,Ký Ức Theo Dòng Đời,218000,218000,0,5.0,1,7,Phan Chánh Dưỡng,Nhà Xuất Bản Đà Nẵng,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,391.0,,Bamboo Books,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
196159066,Ba Bậc Thầy: Balzac - Dickens - Dostoevsky,199000,199000,0,1.0,1,6,Stefan Zweig,NXB Tri Thức,Nhà Xuất Bản Tri Thức,,Bìa mềm,398.0,2022-08-20,Nhà sách NetaBooks,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
274943793,Ghost Hunt - Tập 2 - Lồng Giam Của Búp Bê - Tặng Kèm Postcard,99700,105000,5,5.0,1,2,Fuyumi Ono,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel
163021257,Nick Vujicic - Sống Cho Điều Ý Nghĩa Hơn (Tái Bản),74800,88000,15,5.0,1,3,Nick Vujicic,FIRST NEWS,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
124892995,"Sách - IKEA , Dấu Ấn Thụy Điển Trên Bản Đồ Thế Giới - Thái Hà",149000,149000,0,5.0,1,16,Không rõ,Thái Hà,Nhà Xuất Bản Công Thương,,,,,Bamboo Books,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
2163385,Sách tiếng Anh - Usborne First Thousand Words in French Sticker Book,396495,445500,11,2.0,1,17,Heather Amery,Usborne Publishing,USBORNE PUBLISHING,9781409580225,Paperback,64.0,,Blue Horizon Books,available,1000.0,True,True,True,sach-tieng-anh,children-books,education-reference
2202849,Sách tiếng Anh - Usborne Junior Illustrated English Dictionary,515443,579150,11,5.0,1,16,Hannah Wood,Usborne Publishing,USBORNE PUBLISHING,9781409582625,Paperback,368.0,2016-02-01,Blue Horizon Books,available,1000.0,True,True,True,sach-tieng-anh,children-books,education-reference
191780360,Educated,343300,354000,3,5.0,1,23,Tara Westover,Grantham Book Services,Không rõ,,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,biographies-memoirs,autobiography-memoirs
279040952,Sách ngoại văn: House Of Flame And Shadow,296800,306000,3,5.0,1,1,Sarah J. Maas,Hachette UK Distribution,Nhiều Nhà Xuất Bản,9781526650344,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,science-fiction-fantasy
195472267,Birds Of California,295400,311000,5,5.0,1,1,Katie Cotugno,HarperCollins Publishers,Harper Perennial,9780063159143,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,romance
192987861,Becoming - Chất Michelle (Tái Bản),457600,520000,12,5.0,1,6,Michelle Obama,FIRST NEWS,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
208056342,Instructions For Dancing: The Number One New York Times Bestseller,262200,276000,5,5.0,1,1,Nicola Yoon,Penguin Books,Penguin Books,9780241516911,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,romance
273558913,Hồi Ký Phóng Viên Chiến Trường - Trên Những Nẻo Đường Chiến Tranh Và Hòa Bình  - Bản Quyền,215200,269000,20,5.0,1,2,Không rõ,Alphabooks,Alphabooks,,,,,Alpha Books Official,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
271245482,Combo 2 cuốn SƠN NAM - ĐI VÀ GHI NHỚ – NHỮNG GÓC ĐỜI RIÊNG LẠ - NXB Trẻ,205000,205000,0,5.0,1,3,Không rõ,NXB Trẻ,NXB Trẻ,,Bìa mềm,488.0,,NHBook,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
215748861,"Châu, Chút Tạ Tình Tri Âm - một chặng đường thăng trầm của sân khấu cải lương Việt Nam",100000,100000,0,5.0,1,1,Không rõ,Sách điện tử Saigon Books,Nhà Xuất Bản Văn Hóa - Văn Nghệ,,,,,Nhà Sách Vĩnh Thụy,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
26170008,Sách First Time Learning: Age 3+ First Writing,46000,46000,0,5.0,1,0,Igloo Books Ltd,Không rõ,Không rõ,,,,,Không rõ,out_of_stock,0.0,False,False,False,sach-tieng-anh,children-books,education-reference
273325903,Tôi Muốn Bảo Vệ Cậu Dù Phải Mất Đi... Tình Yêu Này,109600,126000,13,5.0,1,4,Không rõ,AZ Việt Nam,Nhà Xuất Bản Thế Giới,,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel
414373,Sách Tiểu Sử Steve Jobs (Tái Bản 2014) - Bìa Cứng,449000,449000,0,2.0,1,1,Walter Isaacson,Alphabooks,Nhà Xuất Bản Thế Giới,,Bìa cứng,771.0,2014-10-01,HỆ THỐNG NHÀ SÁCH ABC,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
277865260,Sách Đại thắng mùa Xuân 1975 - Bản hùng ca chiến thắng thời đại Hồ Chí Minh,231000,231000,0,5.0,1,2,nhieu tac gia,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,543.0,,Hiệu Sách Tự Do,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
247902469,Terms And Conditions,363800,383000,5,5.0,1,4,Không rõ,Hachette UK Distribution,Piatkus Books,9780349433455,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,romance
263450617,Tự truyện  tiếng Anh: When Breath Becomes Air,317196,356400,11,5.0,1,7,Không rõ,Harper Collins,Không rõ,,Bìa mềm,,,Blue Horizon Books,available,1000.0,True,False,True,sach-tieng-anh,biographies-memoirs,autobiography-memoirs
270808400,It Ends With Us 2: It Starts With Us,456000,480000,5,5.0,1,6,Colleen Hoover,Simon and Schuster,Atria Books,9781668001226,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,romance
278076822,"Hồi Ký Nguyễn Thị Bình: Gia Đình, Bạn Bè Và Đất Nước - Alphabooks (Bìa mềm)",159000,159000,0,5.0,1,7,Nguyễn Thị Bình,NXB Chính Trị Quốc Gia,Nhà Xuất Bản Chính Trị Quốc Gia,,Bìa mềm,268.0,,Nhà Sách Phương Nam,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
192951434,"Love, Hate & Clickbait",272600,287000,5,5.0,1,2,Không rõ,HarperCollins Publishers,Mira Books,9780778311898,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,romance
270502281,Bergman Brothers 5: Everything For You,247900,261000,5,5.0,1,1,Không rõ,Penguin Books,Penguin Books,9781804944677,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,romance
271135871,Nhà Văn Sơn Nam - Những Góc Đời Riêng Lạ,71200,75000,5,5.0,1,2,Nhiều tác giả,NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
252560845,"Hoài Nam Tử : Cuộc đời , tư tưởng và toàn văn Hoài Nam Hồng Liệt ( 2c/bộ) -(2023)",700000,700000,0,5.0,1,3,"Nguyễn Tôn Nhan (Giới thiệu, dịch giải)",CÔNG TY TNHH TM DV VĂN HÓA GIA VŨ,NXB Tổng Hợp Thành Phố Hồ Chí Minh,,Bìa cứng,1404.0,2022-04-26,nhà sách Ngọc Trâm,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
48755694,Sách All Your Perfects,437000,460000,5,5.0,1,7,"Colleen Hoover, Colleen Hoover",Simon and Schuster,Atria Books,9781501193323,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,romance
2054885,Sách Collins Primary Dictionary,322000,339000,5,5.0,1,37,Collins Dictionaries,HarperCollins,HarperCollins,9780008206789,Paperback,472.0,2018-04-05,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,dictionary,english-language-dictionary
169887415,藤本タツキ短編集 17-21 - Tatsuki Fujimoto Short Stories 17-21,176500,183000,4,5.0,1,3,Không rõ,Kinokuniya Book Stores,Shueisha,9784088828039.0,,,,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,comics-graphic-novels
277481614,Sách - Keynes - Tư Tưởng Kinh Tế Hữu Ích Cho Nền Kinh Tế Hiện Nay,160200,180000,11,5.0,1,5,Không rõ,Công ty TNHH Truyền Thông và Giáo Dục Lyceum,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
277363130,"Sách ngoại văn: Love, Theoretically",295700,318000,7,5.0,1,1,Ali Hazelwood,Penguin Books,Berkley Books,9780593336861,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,fiction-literature,romance
173945928,Oxford Wordpower Dictionary 4th Edition,420000,420000,0,5.0,1,13,Không rõ,CÔNG TY TNHH EDUCATION SOLUTIONS VIỆT NAM,Không rõ,,,,,Dtpbooks,available,1000.0,True,False,True,sach-tieng-anh,dictionary,english-language-dictionary
273354662,"Tôi Muốn Bảo Vệ Cậu, Dù Phải Mất Đi Tình Yêu Này  - Bản Quyền",126000,126000,0,5.0,1,2,Không rõ,Skybooks,Nhà Xuất Bản Thế Giới,,,,,NHBook,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,light-novel
133933326,Những Ngày Thơ Ấu,35000,35000,0,5.0,1,4,Không rõ,Kim Đồng,Nhà Xuất Bản Kim Đồng,,,,,Bamboo Books,available,1000.0,True,True,True,sach-truyen-tieng-viet,sach-van-hoc,tieu-su-hoi-ky
1422929,Sách Family and Friends 5 Class Book (without MultiROM) (British English Edition),154800,179000,14,5.0,1,6,Tamzin Thompson,Oxford University Press,Oxford University Press,9780194802833,Paperback,120.0,2018-01-01,Nhà sách Fahasa,available,1000.0,True,True,True,sach-tieng-anh,education-teaching,teaching-learning
270706250,Từ Điển Oxford Collocations Dictionary (2nd Edition) - For Students of English,680000,680000,0,5.0,1,6,nhieu tac gia,Cty PHS TP.HCM- Fahasa,Không rõ,,Bìa mềm,,,Nhà sách Quốc Việt,available,1000.0,True,True,True,sach-tieng-anh,dictionary,english-language-dictionary
