id,name,cat_level_2,cat_level_3,all_time_quantity_sold,author
26114399,"Sách Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",sach-truyen-tieng-viet,sach-ky-nang-song,75282.0,Tống Mặc
52789367,Sách Nhà Giả Kim (Tái Bản),sach-truyen-tieng-viet,sach-van-hoc,39825.0,Paulo Coelho
109017985,"Sách Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",sach-truyen-tieng-viet,sach-van-hoc,27187.0,Cao Minh
278277832,Sách Vui Vẻ Không Quạu Nha - Tản Văn,sach-truyen-tieng-viet,sach-van-hoc,13.0,Ở Đây Zui Nè
71345381,Sách Thay Đổi Cuộc Sống Với Nhân Số Học - Lê Đỗ Quỳnh Hương,sach-truyen-tieng-viet,sach-ky-nang-song,31431.0,David A. Phillips
3304875,Sách Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),sach-truyen-tieng-viet,sach-van-hoc,34846.0,Higashino Keigo
275243138,Sách Rèn Luyện Tư Duy Phản Biện,sach-truyen-tieng-viet,sach-ky-nang-song,1346.0,Albert Rutherford
3608625,Sách Payback Time - Ngày Đòi Nợ,sach-truyen-tieng-viet,sach-kinh-te,32132.0,Phil Town
72202103,Sách Con Chim Xanh Biếc Bay Về (Nguyễn Nhật Ánh) (Bìa Mềm),sach-truyen-tieng-viet,sach-van-hoc,17254.0,Nguyễn Nhật Ánh
73787185,Sách Những Tù Nhân Của Địa Lý,sach-truyen-tieng-viet,sach-kien-thuc-tong-hop,24021.0,Tim Marshall
10005245,Sách Đàn Ông Sao Hỏa Đàn Bà Sao Kim,sach-truyen-tieng-viet,sach-ky-nang-song,53378.0,John Gray
3954355,Sách Yêu Những Điều Không Hoàn Hảo,sach-truyen-tieng-viet,sach-van-hoc,43241.0,Hae Min
3639597,Sách Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),sach-truyen-tieng-viet,sach-van-hoc,49173.0,Hae Min
1007137,Sách Tự Học 2000 Từ Vựng Tiếng Anh Theo Chủ Đề,sach-truyen-tieng-viet,ngoai-ngu-tu-dien,22774.0,The Windy
273819808,Sách Tâm Lý Học Về Tiền,sach-truyen-tieng-viet,sach-kinh-te,28384.0,Morgan Housel
42230121,Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm,sach-truyen-tieng-viet,sach-ky-nang-song,37277.0,Minh Niệm
